date,value,value_classification,price
2020-03-07,50,Neutral,9347.532258390687
2020-03-08,43,Fear,9004.314014235528
2020-03-09,48,Neutral,8844.964594185814
2020-03-10,35,Fear,8445.647220529672
2020-03-11,46,Neutral,8569.62376800819
2020-03-12,61,Greed,9686.073694716135
2020-03-13,57,Greed,9139.817592811727
2020-03-14,57,Greed,9004.985396649288
2020-03-15,57,Greed,9258.5693408688
2020-03-16,56,Greed,9293.34307215763
2020-03-17,52,Neutral,8267.506612092891
2020-03-18,42,Fear,7829.182682760458
2020-03-19,34,Fear,7876.8470457661
2020-03-20,33,Fear,7715.884733145553
2020-03-21,30,Fear,7598.71300708001
2020-03-22,25,Fear,7400.8453329436525
2020-03-23,27,Fear,8147.011566504432
2020-03-24,19,Extreme Fear,7800.211164821733
2020-03-25,20,Extreme Fear,7792.388464665132
2020-03-26,16,Extreme Fear,7580.04808420652
2020-03-27,21,Extreme Fear,8124.9431102444605
2020-03-28,27,Fear,8505.625592094562
2020-03-29,33,Fear,8618.882738297872
2020-03-30,31,Fear,8698.901283716064
2020-03-31,23,Extreme Fear,8337.281982236405
2020-04-01,21,Extreme Fear,8242.030919258108
2020-04-02,22,Extreme Fear,8097.075356134961
2020-04-03,21,Extreme Fear,7471.699622161231
2020-04-04,15,Extreme Fear,7535.707056597282
2020-04-05,19,Extreme Fear,7527.030745305028
2020-04-06,17,Extreme Fear,7297.891207832519
2020-04-07,19,Extreme Fear,7271.351515060118
2020-04-08,18,Extreme Fear,7083.438094175875
2020-04-09,16,Extreme Fear,6991.747017489373
2020-04-10,14,Extreme Fear,6747.489876411377
2020-04-11,7,Extreme Fear,7042.927862639105
2020-04-12,15,Extreme Fear,7213.896108162923
2020-04-13,19,Extreme Fear,7472.4991489312015
2020-04-14,21,Extreme Fear,7400.071219433026
2020-04-15,18,Extreme Fear,7630.23692936474
2020-04-16,30,Fear,7898.028800320083
2020-04-17,31,Fear,7834.027057780594
2020-04-18,36,Fear,7726.849514414843
2020-04-19,43,Fear,8471.109329474446
2020-04-20,52,Neutral,9091.964215088597
2020-04-21,60,Greed,8938.99773568256
2020-04-22,49,Neutral,8572.484524120873
2020-04-23,44,Fear,8537.867177234477
2020-04-24,39,Fear,8179.9585679101365
2020-04-25,51,Neutral,8483.380608861557
2020-04-26,53,Neutral,9134.201252109204
2020-04-27,52,Neutral,9450.756843235144
2020-04-28,52,Neutral,9439.184081538675
2020-04-29,55,Neutral,9737.327080490486
2020-04-30,51,Neutral,9577.374936194452
2020-05-01,48,Neutral,9204.267072796798
2020-05-02,50,Neutral,10046.886227630113
2020-05-03,64,Greed,9960.458992069965
2020-05-04,69,Greed,10401.594908753896
2020-05-05,68,Greed,10621.598993692927
2020-05-06,64,Greed,10332.402193103928
2020-05-07,63,Greed,10717.040472522132
2020-05-08,68,Greed,10190.118996798361
2020-05-09,61,Greed,9807.954230134646
2020-05-10,68,Greed,10082.620934253688
2020-05-11,66,Greed,9344.802239116634
2020-05-12,61,Greed,9526.382207385423
2020-05-13,66,Greed,9978.812980625304
2020-05-14,69,Greed,9629.111710829053
2020-05-15,60,Greed,9007.403033526352
2020-05-16,57,Greed,9539.17770239226
2020-05-17,50,Neutral,9335.172115285734
2020-05-18,58,Greed,10323.914877474275
2020-05-19,64,Greed,11369.017483819736
2020-05-20,68,Greed,11598.378666671486
2020-05-21,62,Greed,11848.178590544734
2020-05-22,68,Greed,12245.407734632896
2020-05-23,66,Greed,12440.377009721538
2020-05-24,61,Greed,11865.128977526709
2020-05-25,69,Greed,11864.951314478481
2020-05-26,61,Greed,12059.774775481479
2020-05-27,65,Greed,11778.100143751031
2020-05-28,59,Greed,11779.98636474643
2020-05-29,55,Neutral,11683.827586070087
2020-05-30,60,Greed,12264.628724728313
2020-05-31,59,Greed,12207.16245103191
2020-06-01,58,Greed,12855.11489635373
2020-06-02,65,Greed,13009.821889127927
2020-06-03,63,Greed,13496.520190744804
2020-06-04,68,Greed,14467.104063130144
2020-06-05,62,Greed,16543.59980094867
2020-06-06,63,Greed,15389.845869442172
2020-06-07,64,Greed,14766.494369923284
2020-06-08,63,Greed,15968.749385307387
2020-06-09,65,Greed,15895.293237866492
2020-06-10,69,Greed,16126.520302164949
2020-06-11,65,Greed,16788.603614291504
2020-06-12,60,Greed,16316.646080213657
2020-06-13,65,Greed,16582.127636677524
2020-06-14,71,Greed,19150.87486732091
2020-06-15,66,Greed,19555.27250464188
2020-06-16,65,Greed,20905.97711887887
2020-06-17,62,Greed,21801.534211979506
2020-06-18,66,Greed,22738.11552682825
2020-06-19,67,Greed,21849.435642142987
2020-06-20,69,Greed,22785.66626498989
2020-06-21,64,Greed,23455.49459409841
2020-06-22,62,Greed,23156.378079770206
2020-06-23,69,Greed,23744.29530694979
2020-06-24,64,Greed,24638.686511388656
2020-06-25,60,Greed,24418.477862831285
2020-06-26,66,Greed,23551.132762619563
2020-06-27,68,Greed,24896.81130298653
2020-06-28,69,Greed,23328.15270595468
2020-06-29,58,Greed,23384.00204766647
2020-06-30,67,Greed,24998.18410465477
2020-07-01,64,Greed,24142.95231923865
2020-07-02,64,Greed,24153.39111674068
2020-07-03,57,Greed,25013.98731464866
2020-07-04,62,Greed,25688.600785541534
2020-07-05,66,Greed,25250.441696997303
2020-07-06,72,Greed,25888.944345614826
2020-07-07,65,Greed,24726.022755377984
2020-07-08,59,Greed,24778.754813986478
2020-07-09,69,Greed,25612.122054637337
2020-07-10,65,Greed,26952.889091249333
2020-07-11,65,Greed,25370.650153193514
2020-07-12,60,Greed,26100.61039095087
2020-07-13,59,Greed,24430.492434144267
2020-07-14,49,Neutral,22287.207089940068
2020-07-15,49,Neutral,21290.18337013781
2020-07-16,40,Fear,21775.569661246598
2020-07-17,42,Fear,21889.45730502613
2020-07-18,35,Fear,20809.753844016497
2020-07-19,39,Fear,21939.586889810136
2020-07-20,26,Fear,21747.226341266105
2020-07-21,30,Fear,23038.49193581367
2020-07-22,34,Fear,23720.24531413439
2020-07-23,28,Fear,23109.096294211085
2020-07-24,39,Fear,23891.59066058605
2020-07-25,37,Fear,23531.45248107871
2020-07-26,29,Fear,24409.190705165718
2020-07-27,42,Fear,26094.553422783323
2020-07-28,44,Fear,26760.079470457065
2020-07-29,47,Neutral,24719.022919657036
2020-07-30,38,Fear,24548.03689187555
2020-07-31,38,Fear,23604.007202377037
2020-08-01,41,Fear,23885.85890525892
2020-08-02,36,Fear,23379.594216003276
2020-08-03,43,Fear,25926.694704330665
2020-08-04,41,Fear,26743.358942214832
2020-08-05,37,Fear,26706.150171954134
2020-08-06,44,Fear,27037.480056157307
2020-08-07,40,Fear,25225.347820933926
2020-08-08,34,Fear,23947.346243899996
2020-08-09,24,Extreme Fear,24386.045314605086
2020-08-10,31,Fear,23811.965125377126
2020-08-11,33,Fear,23831.76064264082
2020-08-12,34,Fear,23696.614673600143
2020-08-13,36,Fear,23080.617474421844
2020-08-14,46,Neutral,23812.79635636492
2020-08-15,56,Greed,25032.134570639595
2020-08-16,46,Neutral,24535.45569277576
2020-08-17,69,Greed,26650.102418436672
2020-08-18,64,Greed,28040.530817430583
2020-08-19,52,Neutral,25338.51311253804
2020-08-20,50,Neutral,25104.874669408535
2020-08-21,47,Neutral,24843.655550984615
2020-08-22,45,Neutral,24576.931418725144
2020-08-23,38,Fear,24022.484575580394
2020-08-24,36,Fear,22747.644617742648
2020-08-25,33,Fear,23580.67119428385
2020-08-26,27,Fear,23251.519743713736
2020-08-27,18,Extreme Fear,22433.102925051593
2020-08-28,30,Fear,24214.630119423055
2020-08-29,36,Fear,24302.420617805725
2020-08-30,39,Fear,23904.340161387434
2020-08-31,31,Fear,22318.540023063146
2020-09-01,38,Fear,28858.55445390088
2020-09-02,45,Neutral,29570.283233337028
2020-09-03,41,Fear,30060.03897654421
2020-09-04,43,Fear,30228.717711241523
2020-09-05,40,Fear,29755.819777128705
2020-09-06,36,Fear,28154.754846874148
2020-09-07,43,Fear,29508.298624057446
2020-09-08,47,Neutral,30353.858166709495
2020-09-09,57,Greed,30032.782784063926
2020-09-10,58,Greed,30458.451499033254
2020-09-11,55,Neutral,29539.590680228706
2020-09-12,47,Neutral,28360.2402703863
2020-09-13,41,Fear,27377.629862530863
2020-09-14,42,Fear,27995.60306476808
2020-09-15,37,Fear,25596.847725344
2020-09-16,29,Fear,25998.481854700218
2020-09-17,21,Extreme Fear,26481.771965517015
2020-09-18,33,Fear,25928.443312950134
2020-09-19,33,Fear,26822.84357884316
2020-09-20,27,Fear,25925.114665573623
2020-09-21,30,Fear,25971.568166836703
2020-09-22,33,Fear,25659.301018485516
2020-09-23,37,Fear,26196.312707763373
2020-09-24,37,Fear,26161.335960274853
2020-09-25,45,Neutral,26728.25276159531
2020-09-26,45,Neutral,27164.747702431494
2020-09-27,42,Fear,27035.30995988978
2020-09-28,28,Fear,23344.5719143743
2020-09-29,24,Extreme Fear,23732.731916904024
2020-09-30,27,Fear,23640.464099911926
2020-10-01,23,Extreme Fear,24188.527647551484
2020-10-02,21,Extreme Fear,23705.70484884377
2020-10-03,20,Extreme Fear,25477.563288667377
2020-10-04,30,Fear,28628.349304059284
2020-10-05,27,Fear,27682.460831840326
2020-10-06,27,Fear,27160.346241515632
2020-10-07,27,Fear,26725.951918559345
2020-10-08,18,Extreme Fear,25427.720239795028
2020-10-09,17,Extreme Fear,25843.547061683934
2020-10-10,19,Extreme Fear,26400.218034189227
2020-10-11,18,Extreme Fear,24134.516477806003
2020-10-12,21,Extreme Fear,24365.86795918754
2020-10-13,23,Extreme Fear,23635.43907880664
2020-10-14,23,Extreme Fear,25063.039663352538
2020-10-15,31,Fear,25002.381776600163
2020-10-16,34,Fear,23688.86510596082
2020-10-17,32,Fear,22963.377992502807
2020-10-18,25,Fear,23624.21081988781
2020-10-19,30,Fear,24737.457633627386
2020-10-20,27,Fear,24348.853387684983
2020-10-21,32,Fear,24213.72722126295
2020-10-22,31,Fear,24682.429666777483
2020-10-23,35,Fear,25870.408316877478
2020-10-24,34,Fear,26932.52238991192
2020-10-25,35,Fear,27084.38201863435
2020-10-26,37,Fear,27421.583444486103
2020-10-27,36,Fear,26974.081623460715
2020-10-28,45,Neutral,26694.211505227147
2020-10-29,58,Greed,28597.634752478032
2020-10-30,64,Greed,30659.081326851323
2020-10-31,66,Greed,31079.200025465954
2020-11-01,69,Greed,31153.250864562007
2020-11-02,62,Greed,31950.784615540382
2020-11-03,58,Greed,32888.32313960385
2020-11-04,57,Greed,32181.564564967524
2020-11-05,53,Neutral,32293.59649749134
2020-11-06,55,Neutral,31280.949541962527
2020-11-07,64,Greed,31077.50213696465
2020-11-08,63,Greed,29622.03334396589
2020-11-09,58,Greed,31162.724033610615
2020-11-10,68,Greed,30041.158393975104
2020-11-11,67,Greed,32499.739102216867
2020-11-12,64,Greed,31904.711567911607
2020-11-13,60,Greed,30854.34138118321
2020-11-14,66,Greed,32212.375584793415
2020-11-15,59,Greed,41807.325390238686
2020-11-16,66,Greed,45191.937124155564
2020-11-17,59,Greed,49474.91078784252
2020-11-18,62,Greed,46451.41313701632
2020-11-19,63,Greed,46446.26870689174
2020-11-20,62,Greed,46472.441644882594
2020-11-21,61,Greed,46361.51663704242
2020-11-22,62,Greed,45283.06978806668
2020-11-23,62,Greed,46734.609908174054
2020-11-24,62,Greed,48375.65507374889
2020-11-25,64,Greed,46460.70485719978
2020-11-26,57,Greed,47019.049347065826
2020-11-27,60,Greed,47012.830404973094
2020-11-28,59,Greed,45085.96817304826
2020-11-29,58,Greed,45141.2934520311
2020-11-30,64,Greed,44494.63593549057
2020-12-01,66,Greed,43351.62430384431
2020-12-02,62,Greed,42594.475426652265
2020-12-03,61,Greed,42714.351631653895
2020-12-04,55,Neutral,46415.94767076522
2020-12-05,57,Greed,45986.89075790489
2020-12-06,55,Neutral,43523.12877639158
2020-12-07,55,Neutral,44346.1359295999
2020-12-08,56,Greed,46011.34193158765
2020-12-09,58,Greed,44119.84101350981
2020-12-10,59,Greed,53036.78026775593
2020-12-11,63,Greed,52537.811037709725
2020-12-12,52,Neutral,52483.001810537666
2020-12-13,53,Neutral,54734.89463993085
2020-12-14,52,Neutral,51788.4274171062
2020-12-15,56,Greed,53660.995230263565
2020-12-16,52,Neutral,52459.467592726345
2020-12-17,51,Neutral,54478.232525321146
2020-12-18,43,Fear,53513.7414110755
2020-12-19,45,Neutral,51544.26133551471
2020-12-20,52,Neutral,51780.9048608418
2020-12-21,48,Neutral,50999.74027654019
2020-12-22,48,Neutral,50348.48975897836
2020-12-23,39,Fear,47653.48899284233
2020-12-24,35,Fear,46066.50309234319
2020-12-25,30,Fear,42747.757601637735
2020-12-26,13,Extreme Fear,41362.82997386084
2020-12-27,24,Extreme Fear,43487.94221450214
2020-12-28,24,Extreme Fear,40737.75645479676
2020-12-29,34,Fear,45266.95959995838
2020-12-30,33,Fear,46409.285118401574
2020-12-31,36,Fear,46868.29740227725
2021-01-01,43,Fear,49182.357052162595
2021-01-02,49,Neutral,48987.27333708593
2021-01-03,51,Neutral,49725.02494643944
2021-01-04,42,Fear,51778.054566236584
2021-01-05,43,Fear,49015.06073654079
2021-01-06,42,Fear,51245.323031760476
2021-01-07,49,Neutral,51445.25366911557
2021-01-08,47,Neutral,52026.875526012744
2021-01-09,38,Fear,52174.43655374591
2021-01-10,33,Fear,51547.77700093377
2021-01-11,34,Fear,52715.37528283145
2021-01-12,33,Fear,52147.62674097169
2021-01-13,38,Fear,51199.08866809229
2021-01-14,28,Fear,49424.76159339871
2021-01-15,31,Fear,50460.41773620243
2021-01-16,23,Extreme Fear,46288.962229765064
2021-01-17,27,Fear,47421.03310020147
2021-01-18,31,Fear,49071.258707964116
2021-01-19,34,Fear,48108.051528563476
2021-01-20,39,Fear,51243.57331119157
2021-01-21,37,Fear,52109.58223235343
2021-01-22,33,Fear,48171.68848349341
2021-01-23,42,Fear,52350.19016980991
2021-01-24,59,Greed,52975.728699805884
2021-01-25,65,Greed,58752.968508622514
2021-01-26,63,Greed,55147.122499075915
2021-01-27,71,Greed,56373.01639786255
2021-01-28,65,Greed,58890.41684028964
2021-01-29,63,Greed,57902.70036541797
2021-01-30,56,Greed,54390.718180647615
2021-01-31,62,Greed,62420.35001905253
2021-02-01,62,Greed,61985.924347954904
2021-02-02,57,Greed,61461.86649894723
2021-02-03,52,Neutral,63549.85808602402
2021-02-04,60,Greed,65030.159890939176
2021-02-05,56,Greed,62600.028896925345
2021-02-06,48,Neutral,59226.35359866913
2021-02-07,48,Neutral,59496.15015720602
2021-02-08,53,Neutral,61509.90600567679
2021-02-09,55,Neutral,64116.57788613152
2021-02-10,56,Greed,66092.0304189353
2021-02-11,59,Greed,66806.04098256386
2021-02-12,71,Greed,67914.78263158492
2021-02-13,67,Greed,69566.51867056165
2021-02-14,66,Greed,68100.04928676756
2021-02-15,73,Greed,68658.39240415856
2021-02-16,68,Greed,67893.81732793391
2021-02-17,58,Greed,65556.79485034656
2021-02-18,65,Greed,63164.9081754466
2021-02-19,54,Neutral,66212.29718361238
2021-02-20,59,Greed,67266.25824146677
2021-02-21,68,Greed,67141.7362549422
2021-02-22,64,Greed,69352.04542651675
2021-02-23,63,Greed,70294.55800098453
2021-02-24,66,Greed,74279.57683426254
2021-02-25,59,Greed,76022.1066784335
2021-02-26,63,Greed,78573.01987845279
2021-02-27,63,Greed,79082.77706803444
2021-02-28,56,Greed,69407.28301734458
2021-03-01,55,Neutral,67722.60915659051
2021-03-02,52,Neutral,69697.26812527033
2021-03-03,43,Fear,65481.40593565898
2021-03-04,47,Neutral,62281.96784235026
2021-03-05,38,Fear,62017.26585335648
2021-03-06,33,Fear,61764.49556150202
2021-03-07,32,Fear,61808.7240971792
2021-03-08,27,Fear,58118.699782680975
2021-03-09,34,Fear,58167.42621660053
2021-03-10,31,Fear,57500.01578715982
2021-03-11,26,Fear,58673.65232236321
2021-03-12,25,Fear,54614.5518824885
2021-03-13,21,Extreme Fear,54687.095114664364
2021-03-14,20,Extreme Fear,54266.68926638646
2021-03-15,15,Extreme Fear,51345.2749261577
2021-03-16,9,Extreme Fear,49289.90974621762
2021-03-17,6,Extreme Fear,48063.00244470369
2021-03-18,9,Extreme Fear,44962.160047471894
2021-03-19,5,Extreme Fear,44099.086298515205
2021-03-20,6,Extreme Fear,48565.724932503676
2021-03-21,9,Extreme Fear,47567.76865510153
2021-03-22,6,Extreme Fear,46630.286132881134
2021-03-23,7,Extreme Fear,46844.45020577042
2021-03-24,8,Extreme Fear,47147.269516923145
2021-03-25,8,Extreme Fear,48881.24791565539
2021-03-26,7,Extreme Fear,57149.4004230746
2021-03-27,10,Extreme Fear,59508.94376836415
2021-03-28,5,Extreme Fear,58742.0754694992
2021-03-29,10,Extreme Fear,60893.41400467551
2021-03-30,23,Extreme Fear,61425.38963530769
2021-03-31,21,Extreme Fear,61923.98200528576
2021-04-01,23,Extreme Fear,62884.57169240237
2021-04-02,29,Fear,63942.34956791121
2021-04-03,38,Fear,65653.79125776445
2021-04-04,39,Fear,65310.712651705464
2021-04-05,37,Fear,65483.92072392886
2021-04-06,41,Fear,64082.00717752908
2021-04-07,44,Fear,64247.511660589014
2021-04-08,46,Neutral,63019.69106789881
2021-04-09,54,Neutral,64718.542704601125
2021-04-10,41,Fear,60848.78715792036
2021-04-11,43,Fear,60095.820618778576
2021-04-12,43,Fear,58923.376392569626
2021-04-13,44,Fear,57928.01531698485
2021-04-14,45,Neutral,59622.35308887368
2021-04-15,54,Neutral,58345.78225001239
2021-04-16,56,Greed,56900.4354362278
2021-04-17,63,Greed,55463.98441070718
2021-04-18,68,Greed,56586.268968897115
2021-04-19,66,Greed,57861.89408181175
2021-04-20,73,Greed,59977.06934816797
2021-04-21,72,Greed,62282.33889263904
2021-04-22,76,Extreme Greed,62823.199136295356
2021-04-23,72,Greed,60264.61483498124
2021-04-24,54,Neutral,57560.67696616956
2021-04-25,48,Neutral,59717.57171199533
2021-04-26,45,Neutral,60977.032565358044
2021-04-27,48,Neutral,64785.46415053214
2021-04-28,57,Greed,70662.79903182184
2021-04-29,59,Greed,73764.72376044489
2021-04-30,61,Greed,77005.75471024633
2021-05-01,60,Greed,74158.96194247417
2021-05-02,53,Neutral,70464.25373423111
2021-05-03,50,Neutral,69915.11288377293
2021-05-04,43,Fear,69474.38064022538
2021-05-05,47,Neutral,76016.7139885546
2021-05-06,52,Neutral,75588.55003187167
2021-05-07,59,Greed,78102.80985415124
2021-05-08,58,Greed,72586.3507075563
2021-05-09,53,Neutral,69789.72603254886
2021-05-10,64,Greed,72340.58552796229
2021-05-11,60,Greed,76005.3083430996
2021-05-12,69,Greed,77658.24142710704
2021-05-13,63,Greed,79770.53150306325
2021-05-14,66,Greed,77476.91984965505
2021-05-15,68,Greed,83404.44101971506
2021-05-16,67,Greed,81913.53352615677
2021-05-17,67,Greed,80457.55819826623
2021-05-18,57,Greed,63008.4232988641
2021-05-19,48,Neutral,67724.86168500724
2021-05-20,40,Fear,69610.84321656199
2021-05-21,48,Neutral,71514.0155531419
2021-05-22,48,Neutral,71254.00820951487
2021-05-23,45,Neutral,69010.28507461744
2021-05-24,44,Fear,66969.74904296448
2021-05-25,55,Neutral,71641.09325650393
2021-05-26,39,Fear,60736.02052820557
2021-05-27,33,Fear,62005.70624802934
2021-05-28,18,Extreme Fear,61329.83159622214
2021-05-29,22,Extreme Fear,64351.434094075885
2021-05-30,7,Extreme Fear,59030.086633154315
2021-05-31,11,Extreme Fear,57987.100501796
2021-06-01,9,Extreme Fear,54852.44676356151
2021-06-02,9,Extreme Fear,53472.04057690634
2021-06-03,3,Extreme Fear,52639.70838949717
2021-06-04,0,Extreme Fear,51956.66507259803
2021-06-05,2,Extreme Fear,47007.61374354324
2021-06-06,5,Extreme Fear,47768.54736597562
2021-06-07,0,Extreme Fear,48184.93981760649
2021-06-08,4,Extreme Fear,50771.41450029275
2021-06-09,0,Extreme Fear,49387.34435514381
2021-06-10,1,Extreme Fear,49903.13372680481
2021-06-11,5,Extreme Fear,47927.919221610275
2021-06-12,5,Extreme Fear,49817.118669084666
2021-06-13,3,Extreme Fear,47963.36362594158
2021-06-14,4,Extreme Fear,43916.03136051936
2021-06-15,0,Extreme Fear,42530.87970001779
2021-06-16,0,Extreme Fear,45167.37421825727
2021-06-17,6,Extreme Fear,46182.8725261581
2021-06-18,6,Extreme Fear,45742.632711229155
2021-06-19,4,Extreme Fear,48703.40788681474
2021-06-20,1,Extreme Fear,46141.25627604054
2021-06-21,1,Extreme Fear,47767.637274154295
2021-06-22,0,Extreme Fear,47109.631591437086
2021-06-23,8,Extreme Fear,47404.6304757785
2021-06-24,8,Extreme Fear,43904.135081378474
2021-06-25,13,Extreme Fear,46790.41613956702
2021-06-26,11,Extreme Fear,45285.87340050564
2021-06-27,16,Extreme Fear,44302.1170160619
2021-06-28,11,Extreme Fear,46579.277946326016
2021-06-29,7,Extreme Fear,42736.08781128686
2021-06-30,11,Extreme Fear,45354.32950717564
2021-07-01,13,Extreme Fear,44369.13845868858
2021-07-02,21,Extreme Fear,44711.24472666848
2021-07-03,31,Fear,44408.63630312071
2021-07-04,29,Fear,46611.54366275451
2021-07-05,33,Fear,46113.78762741779
2021-07-06,17,Extreme Fear,38323.97065717935
2021-07-07,7,Extreme Fear,33991.46871556485
2021-07-08,4,Extreme Fear,33122.25428506144
2021-07-09,0,Extreme Fear,32188.723825473127
2021-07-10,2,Extreme Fear,33648.08758269826
2021-07-11,9,Extreme Fear,33670.83693621421
2021-07-12,2,Extreme Fear,32725.10820094379
2021-07-13,1,Extreme Fear,31888.56900946949
2021-07-14,0,Extreme Fear,30826.593918103143
2021-07-15,6,Extreme Fear,31756.200914113353
2021-07-16,5,Extreme Fear,33396.883835071116
2021-07-17,5,Extreme Fear,34375.582437946054
2021-07-18,5,Extreme Fear,33301.7475323311
2021-07-19,8,Extreme Fear,34477.343139593104
2021-07-20,8,Extreme Fear,34296.559972942305
2021-07-21,11,Extreme Fear,35994.696598405164
2021-07-22,6,Extreme Fear,33289.64350294462
2021-07-23,5,Extreme Fear,33699.163946521774
2021-07-24,1,Extreme Fear,32083.221478492178
2021-07-25,4,Extreme Fear,31943.12751304791
2021-07-26,6,Extreme Fear,32952.775838552356
2021-07-27,2,Extreme Fear,31662.194178188663
2021-07-28,4,Extreme Fear,31696.713452250067
2021-07-29,8,Extreme Fear,33179.72935878217
2021-07-30,21,Extreme Fear,46584.78301933917
2021-07-31,30,Fear,50114.91396275218
2021-08-01,32,Fear,47413.345947635404
2021-08-02,29,Fear,47894.361687965305
2021-08-03,31,Fear,46889.77039278124
2021-08-04,30,Fear,46972.26657818629
2021-08-05,41,Fear,45056.42694168457
2021-08-06,44,Fear,44721.78846697553
2021-08-07,49,Neutral,44947.17933823405
2021-08-08,45,Neutral,38188.746076035335
2021-08-09,32,Fear,37750.629894450634
2021-08-10,32,Fear,37405.38487766785
2021-08-11,44,Fear,39259.28434466543
2021-08-12,47,Neutral,43151.77732533592
2021-08-13,56,Greed,46331.34603421529
2021-08-14,54,Neutral,48662.463565482976
2021-08-15,57,Greed,48553.072980559984
2021-08-16,61,Greed,49431.63237712283
2021-08-17,64,Greed,48734.260999469094
2021-08-18,56,Greed,50488.294417152516
2021-08-19,52,Neutral,50545.32588781225
2021-08-20,53,Neutral,49480.06243399632
2021-08-21,51,Neutral,48537.584115979036
2021-08-22,54,Neutral,51053.396537343964
2021-08-23,57,Greed,54072.921968354
2021-08-24,60,Greed,52188.3890681408
2021-08-25,55,Neutral,55508.289581459765
2021-08-26,52,Neutral,52836.00616318086
2021-08-27,54,Neutral,50292.865994590284
2021-08-28,58,Greed,54320.90177806436
2021-08-29,60,Greed,57999.93365812258
2021-08-30,51,Neutral,58903.94024723008
2021-08-31,59,Greed,61336.93985646584
2021-09-01,62,Greed,60623.21737090282
2021-09-02,64,Greed,57446.40758603136
2021-09-03,57,Greed,57554.99778073271
2021-09-04,66,Greed,59003.02115991759
2021-09-05,67,Greed,60721.95619350475
2021-09-06,53,Neutral,55612.60903755159
2021-09-07,58,Greed,57851.286655539574
2021-09-08,62,Greed,62027.11776663752
2021-09-09,66,Greed,59319.733163151075
2021-09-10,73,Greed,59847.94550306595
2021-09-11,65,Greed,57371.36243815799
2021-09-12,60,Greed,54344.25629322121
2021-09-13,50,Neutral,56062.28082610191
2021-09-14,52,Neutral,53694.206114865956
2021-09-15,40,Fear,51582.92213448941
2021-09-16,34,Fear,50749.91848832891
2021-09-17,35,Fear,48637.01897300495
2021-09-18,35,Fear,49782.998134574154
2021-09-19,37,Fear,49520.58737975321
2021-09-20,13,Extreme Fear,37266.36955886649
2021-09-21,4,Extreme Fear,38492.62499304456
2021-09-22,0,Extreme Fear,39906.637229875094
2021-09-23,0,Extreme Fear,40123.80499059331
2021-09-24,2,Extreme Fear,40713.67803217772
2021-09-25,5,Extreme Fear,42855.22353110431
2021-09-26,2,Extreme Fear,35579.743848966944
